"country","happiness_score","gdp_per_capita","social_support","healthy_life_expectancy","freedom_to_make_life_choices","generosity","perceptions_of_corruption","region","year"
"Kosovo",6.561,1.364,1.277,0.599,0.739,0.254,0.073,"Central and Eastern Europe",2024
"Singapore",6.523,2.118,1.361,0.769,0.743,0.168,0.575,"Southeast Asia",2024
"Taiwan Province of China",6.503,1.842,1.346,0.65,0.649,0.068,0.202,"East Asia",2024
"Romania",6.491,1.699,1.236,0.583,0.717,0.041,0.006,"Central and Eastern Europe",2024
"El Salvador",6.469,1.265,1.08,0.549,0.816,0.083,0.253,"Latin America and Caribbean",2024
"Estonia",6.448,1.752,1.527,0.657,0.805,0.166,0.401,"Central and Eastern Europe",2024
"Poland",6.442,1.738,1.417,0.639,0.6,0.081,0.175,"Central and Eastern Europe",2024
"Spain",6.421,1.766,1.471,0.729,0.619,0.119,0.177,"Western Europe",2024
"Serbia",6.411,1.538,1.391,0.585,0.663,0.2,0.101,"Central and Eastern Europe",2024
"Chile",6.36,1.616,1.369,0.673,0.651,0.117,0.075,"Latin America and Caribbean",2024
"Panama",6.358,1.702,1.392,0.633,0.72,0.063,0.043,"Latin America and Caribbean",2024
"Malta",6.346,1.827,1.444,0.707,0.727,0.25,0.125,"Western Europe",2024
"Italy",6.324,1.8,1.328,0.72,0.513,0.112,0.074,"Western Europe",2024
"Guatemala",6.287,1.26,1.169,0.467,0.735,0.105,0.078,"Latin America and Caribbean",2024
"Nicaragua",6.284,1.097,1.263,0.542,0.793,0.133,0.251,"Latin America and Caribbean",2024
"Brazil",6.272,1.43,1.269,0.548,0.685,0.13,0.142,"Latin America and Caribbean",2024
"Slovakia",6.257,1.706,1.54,0.638,0.566,0.096,0.058,"Central and Eastern Europe",2024
"Latvia",6.234,1.7,1.508,0.564,0.666,0.127,0.078,"Central and Eastern Europe",2024
"Uzbekistan",6.195,1.212,1.394,0.539,0.835,0.251,0.215,"Commonwealth of Independent States",2024
"Argentina",6.188,1.562,1.381,0.585,0.681,0.087,0.08,"Latin America and Caribbean",2024
"Kazakhstan",6.188,1.622,1.457,0.556,0.733,0.149,0.12,"Commonwealth of Independent States",2024
"Cyprus",6.068,1.794,1.217,0.744,0.529,0.124,0.049,"Western Europe",2024
"Japan",6.06,1.786,1.354,0.785,0.632,0.023,0.219,"East Asia",2024
"South Korea",6.058,1.815,1.178,0.77,0.555,0.126,0.158,"East Asia",2024
"Philippines",6.048,1.232,1.146,0.441,0.826,0.099,0.136,"Southeast Asia",2024
"Vietnam",6.043,1.331,1.267,0.539,0.843,0.094,0.16,"Southeast Asia",2024
"Portugal",6.03,1.728,1.368,0.699,0.757,0.047,0.035,"Western Europe",2024
"Hungary",6.017,1.722,1.528,0.596,0.581,0.123,0.067,"Central and Eastern Europe",2024
"Paraguay",5.977,1.398,1.408,0.549,0.788,0.131,0.065,"Latin America and Caribbean",2024
"Thailand",5.976,1.484,1.347,0.62,0.756,0.283,0.024,"Southeast Asia",2024
"Malaysia",5.975,1.646,1.143,0.54,0.829,0.226,0.119,"Southeast Asia",2024
"China",5.973,1.497,1.239,0.629,0.704,0.132,0.164,"East Asia",2024
"Honduras",5.968,1.091,1.035,0.502,0.72,0.175,0.081,"Latin America and Caribbean",2024
"Croatia",5.942,1.71,1.445,0.637,0.469,0.064,0.043,"Central and Eastern Europe",2024
"Greece",5.934,1.684,1.276,0.696,0.337,0.018,0.093,"Western Europe",2024
"Bosnia and Herzegovina",5.877,1.465,1.318,0.587,0.621,0.246,0,"Central and Eastern Europe",2024
"Jamaica",5.842,1.28,1.324,0.567,0.647,0.089,0.028,"Latin America and Caribbean",2024
"Peru",5.841,1.371,1.18,0.662,0.615,0.078,0.029,"Latin America and Caribbean",2024
"Dominican Republic",5.823,1.517,1.272,0.511,0.73,0.086,0.196,"Latin America and Caribbean",2024
"Mauritius",5.816,1.57,1.358,0.49,0.641,0.123,0.118,"Sub-Saharan Africa",2024
"Moldova",5.816,1.385,1.277,0.542,0.695,0.077,0.044,"Central and Eastern Europe",2024
"Russia",5.785,1.642,1.351,0.531,0.551,0.138,0.121,"Central and Eastern Europe",2024
"Bolivia",5.784,1.217,1.179,0.488,0.719,0.1,0.061,"Latin America and Caribbean",2024
"Ecuador",5.725,1.315,1.151,0.64,0.606,0.087,0.078,"Latin America and Caribbean",2024
"Kyrgyzstan",5.714,1.054,1.477,0.588,0.834,0.225,0.03,"Commonwealth of Independent States",2024
"Montenegro",5.707,1.571,1.318,0.587,0.632,0.11,0.132,"Central and Eastern Europe",2024
"Mongolia",5.696,1.353,1.511,0.4,0.501,0.237,0.055,"East Asia",2024
"Colombia",5.695,1.437,1.241,0.648,0.644,0.072,0.059,"Latin America and Caribbean",2024
"Venezuela",5.607,0,1.321,0.491,0.518,0.192,0.086,"Latin America and Caribbean",2024
"Indonesia",5.568,1.361,1.184,0.472,0.779,0.399,0.055,"Southeast Asia",2024
"Bulgaria",5.463,1.629,1.469,0.567,0.62,0.083,0.006,"Central and Eastern Europe",2024
"Armenia",5.455,1.444,1.154,0.603,0.65,0.051,0.173,"Central and Eastern Europe",2024
"South Africa",5.422,1.389,1.369,0.322,0.537,0.078,0.034,"Sub-Saharan Africa",2024
"North Macedonia",5.369,1.475,1.277,0.569,0.58,0.194,0.015,"Central and Eastern Europe",2024
"Algeria",5.364,1.324,1.191,0.568,0.247,0.091,0.2,"Middle East and North Africa",2024
"Hong Kong S.A.R. of China",5.316,1.909,1.184,0.857,0.485,0.147,0.402,"East Asia",2024
"Albania",5.304,1.438,0.924,0.638,0.69,0.138,0.049,"Central and Eastern Europe",2024
"Mozambique",5.216,0.56,0.883,0.156,0.728,0.158,0.196,"Sub-Saharan Africa",2024
"Georgia",5.185,1.467,0.99,0.524,0.68,0,0.174,"Central and Eastern Europe",2024
"Iraq",5.166,1.249,0.996,0.498,0.425,0.141,0.048,"Middle East and North Africa",2024
"Nepal",5.158,0.965,0.99,0.443,0.653,0.209,0.115,"South Asia",2024
"Laos",5.139,1.208,0.846,0.423,0.796,0.17,0.167,"Southeast Asia",2024
"Gabon",5.106,1.403,1.038,0.344,0.516,0.045,0.1,"Sub-Saharan Africa",2024
"Ivory Coast",5.08,1.08,0.578,0.288,0.547,0.12,0.164,"Sub-Saharan Africa",2024
"Guinea",5.023,0.831,0.622,0.236,0.521,0.21,0.107,"Sub-Saharan Africa",2024
"Senegal",4.969,0.927,0.751,0.392,0.607,0.152,0.069,"Sub-Saharan Africa",2024
"Iran",4.923,1.435,1.136,0.571,0.366,0.235,0.123,"Middle East and North Africa",2024
"Nigeria",4.881,1.042,1.075,0.256,0.566,0.201,0.019,"Sub-Saharan Africa",2024
"Cameroon",4.874,0.943,0.856,0.288,0.521,0.126,0.06,"Sub-Saharan Africa",2024
"Ukraine",4.873,1.35,1.315,0.513,0.631,0.285,0.025,"Central and Eastern Europe",2024
"Namibia",4.832,1.266,1.212,0.307,0.47,0.069,0.061,"Sub-Saharan Africa",2024
"Morocco",4.795,1.213,0.471,0.495,0.631,0.042,0.082,"Middle East and North Africa",2024
"Pakistan",4.657,1.069,0.6,0.321,0.542,0.144,0.074,"South Asia",2024
"Niger",4.556,0.573,0.677,0.293,0.615,0.145,0.147,"Sub-Saharan Africa",2024
"Burkina Faso",4.548,0.756,0.685,0.274,0.483,0.173,0.179,"Sub-Saharan Africa",2024
"Mauritania",4.505,1.078,0.705,0.4,0.343,0.133,0.198,"Sub-Saharan Africa",2024
"Gambia",4.485,0.75,0.684,0.33,0.459,0.324,0.048,"Sub-Saharan Africa",2024
"Chad",4.471,0.603,0.805,0.199,0.411,0.218,0.113,"Sub-Saharan Africa",2024
"Kenya",4.47,1.037,0.895,0.353,0.519,0.282,0.069,"Sub-Saharan Africa",2024
"Tunisia",4.422,1.306,0.955,0.579,0.254,0.024,0.018,"Middle East and North Africa",2024
"Benin",4.377,0.914,0.128,0.284,0.567,0.112,0.252,"Sub-Saharan Africa",2024
"Uganda",4.372,0.772,1.151,0.373,0.587,0.178,0.054,"Sub-Saharan Africa",2024
"Myanmar",4.354,0.978,0.988,0.436,0.45,0.401,0.174,"Southeast Asia",2024
"Cambodia",4.341,1.011,1.019,0.442,0.863,0.17,0.071,"Southeast Asia",2024
"Ghana",4.289,1.077,0.747,0.36,0.623,0.183,0.028,"Sub-Saharan Africa",2024
"Liberia",4.269,0.619,0.673,0.301,0.546,0.178,0.075,"Sub-Saharan Africa",2024
"Mali",4.232,0.747,0.688,0.267,0.586,0.12,0.09,"Sub-Saharan Africa",2024
"Madagascar",4.228,0.628,0.823,0.333,0.25,0.172,0.123,"Sub-Saharan Africa",2024
"Togo",4.214,0.758,0.586,0.32,0.453,0.127,0.156,"Sub-Saharan Africa",2024
"Jordan",4.186,1.262,0.983,0.594,0.593,0.059,0.189,"Middle East and North Africa",2024
"India",4.054,1.166,0.653,0.417,0.767,0.174,0.122,"South Asia",2024
"Egypt",3.977,1.37,0.996,0.488,0.49,0.025,0.259,"Middle East and North Africa",2024
"Sri Lanka",3.898,1.361,1.179,0.586,0.583,0.144,0.031,"South Asia",2024
"Bangladesh",3.886,1.122,0.249,0.513,0.775,0.14,0.167,"South Asia",2024
"Ethiopia",3.861,0.792,0.915,0.42,0.441,0.27,0.101,"Sub-Saharan Africa",2024
"Tanzania",3.781,0.82,0.706,0.38,0.709,0.191,0.257,"Sub-Saharan Africa",2024
"Comoros",3.566,0.896,0.328,0.37,0.172,0.128,0.16,"Sub-Saharan Africa",2024
"Zambia",3.502,0.899,0.809,0.264,0.727,0.168,0.109,"Sub-Saharan Africa",2024
"Malawi",3.421,0.617,0.41,0.349,0.571,0.135,0.136,"Sub-Saharan Africa",2024
"Botswana",3.383,1.445,0.969,0.241,0.567,0.014,0.082,"Sub-Saharan Africa",2024
"Zimbabwe",3.341,0.748,0.85,0.232,0.487,0.096,0.131,"Sub-Saharan Africa",2024
"Sierra Leone",3.245,0.654,0.566,0.253,0.469,0.181,0.053,"Sub-Saharan Africa",2024
"Lebanon",2.707,1.377,0.577,0.556,0.173,0.068,0.029,"Middle East and North Africa",2024
"Afghanistan",1.721,0.628,0,0.242,0,0.091,0.088,"South Asia",2024
